artist,song
Antonio Aguilar,Primor De Mata
Antonio Aguilar,Buenas Noches Jesusita
Antonio Aguilar,Mujer Engrandecida
Antonio Aguilar,Aunque Llegues A Odiarme
Antonio Aguilar,Maria La Bandida
Antonio Aguilar,Adios A Mi Chabela
Antonio Aguilar,Me Caiste Del Cielo
Antonio Aguilar,Lavando Estabas
Antonio Aguilar,No Te Cases Chaparrita
Antonio Aguilar,Ni Los Pleitos
Antonio Aguilar,Tu Ya No Soplas
Antonio Aguilar,Los Vergelitos
Antonio Aguilar,Amor A La Ligera
Antonio Aguilar,Mi Prieta Pretenciosa
Antonio Aguilar,Las Gaviotas
Antonio Aguilar,Palabra De Hombre
Valentin Elizalde Y Su Banda Guasaveña,Para Que Olvidar
Valentin Elizalde Y Su Banda Guasaveña,Para Que Olvidar
Antonio Aguilar,La Malagradecida
Antonio Aguilar,Modesta
Antonio Aguilar,La Tumba Abandonada
Antonio Aguilar,El Siete Mares
Antonio Aguilar,Ojitos Azules
Antonio Aguilar,Por Un Amor
Antonio Aguilar,Amor A La Ligera
Antonio Aguilar,La Negra Cruz
Antonio Aguilar,Cuando Ya No Me Quieras
Los Huracanes Del Norte,Lo Que Mas Me Duele
Los Huracanes Del Norte,El Futbolista
Los Huracanes Del Norte,Tu Despedida
Los Huracanes Del Norte,El Hombre De Negro
Los Huracanes Del Norte,El Mocho Chavez
Los Huracanes Del Norte,Que Te Importa
Los Huracanes Del Norte,Ay Amigo
Los Huracanes Del Norte,30 Dias
Los Huracanes Del Norte,Fue Mentira
Los Huracanes Del Norte,El Palomino Tostado
Los Huracanes Del Norte,Paloma Querida
Conjunto Primavera,Actos De Un Tonto
Conjunto Primavera,Muero
Conjunto Primavera,Ave Cautiva
Conjunto Primavera,Ni Asi Me Rajo
Conjunto Primavera,Morir De Amor
Conjunto Primavera,Hoy Como Ayer
Conjunto Primavera,Si Te Vuelvo A Ver
Conjunto Primavera,Muero
Conjunto Primavera,Ave Cautiva
Conjunto Primavera,Ni Asi Me Rajo
Conjunto Primavera,Borracho Y Loco
Conjunto Primavera,Morir De Amor
Conjunto Primavera,Hoy Como Ayer
Conjunto Primavera,Actos De Un Tonto
Conjunto Primavera,Borracho Y Loco
Conjunto Primavera,Si Te Vuelvo A Ver
El Chapo,Si Yo Fuera Ladrón 
Zarko,Hoy Se Casa Mi Amor
Pesado,Mitad Y Mitad
Pesado,Día Tras Día
Pesado,Ayúdame A Olvidar
Pesado,A Chillar A Otra Parte
Pesado,Tú Como Si Nada
Pesado,Ojalá Que Te Mueras
Pesado,Rezaré
Pesado,Y
Pesado,No Te La Vas A Acabar
Pesado,Dices Ya No
Pesado,Te Lo Pido Por Favor
Pesado,Sigues Ahi
Pesado,En Lo Más Alto Del Cielo
Pesado,Lástima Me Das
Pesado,Loco
Pesado,Mitad Y Mitad
Pesado,Arrancame
Pesado,A Chillar A Otra Parte
Pesado,Como Le Hago
Pesado,Como Tu Enemigo
Pesado,Te Quiero Te Amo
Pesado,Te Lo PIdo Por Favor
Pesado,No Te La Vas A Acabar
Pesado,Loco
Los Tigres Del Norte,Contrabando y Traición 
Los Tigres Del Norte,Los Tres Amigos 
Los Tigres Del Norte,Contrabando y Robo
Los Tigres Del Norte,El Tahúr 
Los Tigres Del Norte,La Fuga Del Rojo
Los Tigres Del Norte,La Jaula de Oro 
Los Tigres Del Norte,Los Tres Gallos 
Los Tigres Del Norte,Tres Veces Mojado
Marco Antonio Solís,Antes De Que Te Vayas 
Marco Antonio Solís,Quien Se Enamoró 
Marco Antonio Solís,Te Voy A Esperar
Marco Antonio Solís,Pídemelo Todo 
Marco Antonio Solís,Extrañándote 
Marco Antonio Solís,Hay Veces 
Marco Antonio Solís,Dios Bendiga Nuestro Amor 
Marco Antonio Solís,Ojalá 
Marco Antonio Solís,Yo Creía Que Si 
Marco Antonio Solís,No Puedo Olvidarla 
Sergio Vega,Muchachita De Ojos Tristes
Los Invasores De Nuevo Leon,Laurita Garza
Los Invasores De Nuevo Leon,Que La Dejen Ir Al Baile
Los Invasores De Nuevo Leon,En Eso No Quedamos
Los Invasores De Nuevo Leon,De Ramones A Terán
Los Invasores De Nuevo Leon,Me Refiero A Ti
Los Invasores De Nuevo Leon,Eslabón Por Eslabón
Los Invasores De Nuevo Leon,Para Ti Mi Amor
Los Invasores De Nuevo Leon,Playa Sola
Los Invasores De Nuevo Leon,Ni Que Tuvieras Tanta Suerte
Los Invasores De Nuevo Leon,Lo Callaré
Los Invasores De Nuevo Leon,La Costumbre
Los Invasores De Nuevo Leon,Las Sigues Dando
Grupo Montéz De Durango,Lástima Es Mi Mujer
Grupo Montéz De Durango,Lágrimas De Cristal
Grupo Montéz De Durango,El Sube Y Baja
Grupo Montéz De Durango,Quiero Saber de Ti
Grupo Montéz De Durango,Hoy Empieza Mi Tristeza
Grupo Montéz De Durango,Las Mulas De Garame
Grupo Montéz De Durango,Te Quise Olvidar
Chalino Sánchez,Prenda Del Alma
Chalino Sánchez,Los Chismes
Chalino Sánchez,Por Una Rencilla Vieja 
Chalino Sánchez,María De La Luz 
Chalino Sánchez,El Pavido Navido 
Chalino Sánchez,Ausencia Eterna 
Chalino Sánchez,La Loba Del Mal
Chalino Sánchez,Los Chismes
Chalino Sánchez,El Pavido Navido
Grupo Exterminador,Con Los Huevos En Las Manos
Grupo Exterminador,Entre Cobijas
Grupo Exterminador,Dale Biberón
Grupo Exterminador,Cada Vez Que Me Besas
Grupo Exterminador,Duro Al Corazón
Grupo Exterminador,La Bruja
Grupo Exterminador,Mi Vida Eres Tú
Grupo Exterminador,Porque Te Quiero
Grupo Exterminador,Dímelo De Frente
Grupo Exterminador,Tu Picahielo
Grupo Marrano,Y Con Esa Boquita Mamas
Grupo Marrano,El Capado
Grupo Marrano,7 Pulgadas
Grupo Marrano,En Mi Soledad
Grupo Marrano,La Bruja (Intro)
Grupo Marrano,7 Pulgadas (Intro)
Grupo Marrano,Libertina
Grupo Marrano,El Porn-star
Cardenales De Nuevo León,Por Un Caprichito
Cardenales De Nuevo León,Compre Una Cantina
Jenni Rivera,Juro Que Nunca Volvere
Jenni Rivera,Querida Socia
Jenni Rivera,Por Un Amor Cucurrucucu Paloma
Jenni Rivera,La Tequilera
Jenni Rivera,Homenaje a Mi Madre
Jenni Rivera,Que Se Te Olvido
Jenni Rivera,Que Me Vas a Dar
Jenni Rivera,Amiga Si Lo Ves
Jenni Rivera,Mil Heridas
Jenni Rivera,Por Un Amor Cucurrucucu Paloma
Jenni Rivera,Juro Que Nunca Volvere
Jenni Rivera,Homenaje a Mi Madre
Jenni Rivera,La Tequilera
Jenni Rivera,Amiga Si Lo Ves
Jenni Rivera,Que Se Te Olvido
Jenni Rivera,Querida Socia
Jenni Rivera,Que Me Vas a Dar
Jenni Rivera,La Papa Sin Catsup
Jenni Rivera,Mil Heridas
Jenni Rivera,Juro Que Nunca Volveré
Jenni Rivera,Homenaje A Mi Madre
Jenni Rivera,Amiga Si Lo Ves
Jenni Rivera,Que Me Vas A Dar
Patrulla 81,Soy Celoso
Vicente Fernández,México Lindo Y Querido
Vicente Fernández,El Tahúr
Vicente Fernández,La Muerte De Un Gallero
Vicente Fernández,Que Te Vaya Bonito
Vicente Fernández,Palabra De Rey
Vicente Fernández,Ingrato Amor
Vicente Fernández,Me Quedan Todas
Vicente Fernández,Yo Quiero Ser
Vicente Fernández,Ni En Defensa Propia
Vicente Fernández,Hilos De Plata
Vicente Fernández,Con Una Copa De Vino
Vicente Fernández,Tu Camino Y El Mio
Vicente Fernández,México Lindo Y Querido
Vicente Fernández,El Jalisciense
Vicente Fernández,México Lindo Y Querido
Vicente Fernández,El Tahúr
Vicente Fernández,Mares De Tristeza
Vicente Fernández,Se Vende Un Caballo
Vicente Fernández,La Primera Caricia
Vicente Fernández,La Muerte De Un Gallero
Vicente Fernández,Como México No Hay Dos
Vicente Fernández,Si Te Vas No Hay Lío
Vicente Fernández,Guadalajara
Vicente Fernández,Palabra De Rey
Vicente Fernández,Corrido De Juan Armenta
Vicente Fernández,Tu Camino Y El Mío
Vicente Fernández,Ingrato Amor
Vicente Fernández,Las Botas De Charro
Vicente Fernández,Hasta La Tumba
Vicente Fernández,A Tu Salud
Vicente Fernández,La Misma
Vicente Fernández,Con Una Copa De Vino
Vicente Fernández,Camino Inseguro
Vicente Fernández,Voy A Navegar
Vicente Fernández,Amor Como Mi Amor
Vicente Fernández,El Derrotado
Vicente Fernández,Aprendiste A Volar
Vicente Fernández,Ni En Defensa Propia
Vicente Fernández,Mujeres Divinas
Vicente Fernández,Yo Quiero Ser
Vicente Fernández,Hilos De Plata
Vicente Fernández,Cállate
Vicente Fernández,¿Y Cómo Es Él?
Vicente Fernández,Amor En Sombras
Vicente Fernández,Que Te Vaya Bonito
Vicente Fernández,Campanas Del Olvido
Vicente Fernández,Amar Y Vivir
Vicente Fernández,La Diferencia
Vicente Fernández,Y Tú Me Vas A Recordar
Vicente Fernández,Me Quedan Todas
Valentin Elizalde Y Su Banda Guasaveña,Para Que Olvidar
Valentin Elizalde Y Su Banda Guasaveña,Para Que Olvidar
Brazeros Musical de Durango,Lagrimas Y Lluvia
Brazeros Musical de Durango,La Abeja Miope
K-Paz De La Sierra,Procuro Olvidarte
K-Paz De La Sierra,Amor Mío
K-Paz De La Sierra,No Te Apartes de Mí
K-Paz De La Sierra,La Puerta de Alcalá
K-Paz De La Sierra,Charola de Plata
K-Paz De La Sierra,Tu Me Atrapaste
K-Paz De La Sierra,Hey!
K-Paz De La Sierra,San Juan Del Río
K-Paz De La Sierra,Y Aquí Estoy
K-Paz De La Sierra,"La Vida Es ""Amor Inmenso"""
K-Paz De La Sierra,Te Juro Que Te Amo
Mariana Seoane,Mermelada
Mariana Seoane,Con Veneno O Con Miel
Mariana Seoane,Si Te Vas
Gloria Trevi,Doctor Psiquiatra
Gloria Trevi,Zapatos Viejos
Gloria Trevi,La Pasabas Bien Conmigo
Gloria Trevi,¿Qué Voy A Hacer Sin Él?
Gloria Trevi,Si Me Llevas Contigo
Gloria Trevi,Hoy Me Iré De Casa
Gloria Trevi,El Recuento De Los Daños
Gloria Trevi,Nieve De Mamey
Gloria Trevi,Me Siento Tan Sola
Gloria Trevi,En Medio De La Tempestad
Gloria Trevi,Pelo Suelto
Gloria Trevi,Borregos
Gloria Trevi,A La Madre
Gloria Trevi,El Secreto
Gloria Trevi,Todos Me Miran
Gloria Trevi,Estrella De La Mañana
Gloria Trevi,El Ingrato
Gloria Trevi,Doctor Psiquiatra
Gloria Trevi,La Pasabas Bien Conmigo
Gloria Trevi,Sufran Con Lo Que Yo Gozo
Gloria Trevi,Zapatos Viejos
Gloria Trevi,Si Me Llevas Contigo
Gloria Trevi,El Recuento De Los Daños
Gloria Trevi,¿Qué Voy A Hacer Sin Él?
Gloria Trevi,Me Siento Tan Sola
Gloria Trevi,Hoy Me Iré De Casa
Gloria Trevi,Nieve De Mamey
Gloria Trevi,Borregos
Gloria Trevi,En Medio De La Tempestad
Gloria Trevi,A La Madre
Gloria Trevi,Pelo Suelto
Celso Piña,Cumbia Sobre El Río
Celso Piña,Sólo Quiero Un Xodo
Celso Piña,Viviendo En Sueños
Celso Piña,Al Pensar En Ti
Celso Piña,Cumbia De La Paz
Celso Piña,Aunque No Sea Conmigo
Celso Piña,Gitana
Celso Piña,Si Mañana
Celso Piña,Interludio 2
Celso Piña,Cumbia Poder
Celso Piña,Sé Que No Gustas De Mí
Macaco,Intro Ingravitto
Macaco,Con La Mano Levantá
Macaco,Mama Tierra
Macaco,Crece La Voz
Macaco,Como El Agua Cale
Macaco,Bajo Un Mismo Sol
Macaco,Hilo Y Aguja
Macaco,Sideral
Macaco,Las Luces De La Ciudad
Macaco,Son Son
Macaco,Paya
Ojos de Brujo,Sultanas De Merkaíllo
Ojos de Brujo,Color
Ojos de Brujo,Todo Tiende
Ojos de Brujo,Runalí
Ojos de Brujo,Silencio
Ojos de Brujo,No Somos Máquinas
Ojos de Brujo,Bailaores
Ojos de Brujo,El Confort No Reconforta
Ojos de Brujo,Corre Lola Corre
Ojos de Brujo,Feedback
Ojos de Brujo,Tanguillos Marineros
Ojos de Brujo,Nana
Ojos de Brujo,Respira
Ojos de Brujo,Piedras Vs. Tanques
Celso Piña,Si Mañana
Celso Piña,Cumbia Sobre El Río
Celso Piña,Sólo Quiero Un Xodo
Celso Piña,Viviendo En Sueños
Celso Piña,Cumbia De La Paz
Celso Piña,Al Pensar En Ti
Celso Piña,Cumbia Poder
Celso Piña,Gitana
Celso Piña,Aunque No Sea Conmigo
Celso Piña,Interludio 2
Celso Piña,Sé Que No Gustas De Mí
Ojos de Brujo,Color
Ojos de Brujo,Runalí
Ojos de Brujo,Sultanas De Merkaíllo
Ojos de Brujo,El Confort No Reconforta
Ojos de Brujo,Tanguillos Marineros
Ojos de Brujo,No Somos Máquinas
Ojos de Brujo,Silencio
Ojos de Brujo,Todo Tiende
Ojos de Brujo,Piedras Vs. Tanques
Ojos de Brujo,Respira
Ojos de Brujo,Feedback
Ojos de Brujo,Bailaores
Ojos de Brujo,Corre Lola Corre
Ojos de Brujo,Nana
Vico C,Bomba Para Afincar
Vico C,Lo Grande Que Es Perdonar
Vico C,Me Acuerdo
Vico C,Desahogo
Vico C,Tony Presidio
Vico C,5 De Septiembre
Vico C,La Inglesa
Vico C,Vámonos Po' Encima
Vico C,Se Escaman
Vico C,Explosión
Vico C,Tu Corazón Ya No Aguanta Pela
Cartel De Santa,La Ranfla Del Cartel
Cartel De Santa,Dejate Caer
Cartel De Santa,Mira Quien Vuelve Al 100
Cartel De Santa,Hey Si Me Ven
Cartel De Santa,Cheka Wey
Cartel De Santa,México Lindo Y Bandido 
Cartel De Santa,2 Mujeres En My Cama 
Cartel De Santa,Si Son Bien Jotos 
Cartel De Santa,Yo Me La Pérez Prado
Cartel De Santa,Ahora Sí Voy A Lokear
Cartel De Santa,Conexión Vieja Escuela 
Kartel De Las Calles,Las Calles Me Llaman
Kartel De Las Calles,A La Mexicana
Kartel De Las Calles,Pensamientos Verdes
Los Cadetes de Linares,Generoso Y Carmelita
Los Cadetes de Linares,Pistoleros Famosos
Los Cadetes de Linares,Dimas De Leon
Los Cadetes de Linares,Jose Lopez
Los Cadetes de Linares,Eleazar Del Fierro
Los Cadetes de Linares,Arturo Garza Trevino
Los Cadetes de Linares,Silvano Garcia
Los Cadetes de Linares,Vivo Preso
Los Cadetes de Linares,Lucio Peña
Trio Armonia Huasteca,El Sonsolito
Carlos Y Jose,Flor De Las Flores
Carlos Y Jose,La Entalladita
Conjunto Primavera de Nacho Galindo,Borracho Y Loco
Lorenzo De Monteclaro,Carga Ladeada
Lorenzo De Monteclaro,Ayer Baje De La Sierra
Lorenzo De Monteclaro,La Banda Del Carro Rojo
Lorenzo De Monteclaro,Eran Cuatro De A Caballo
Lorenzo De Monteclaro,Las Drogas
Lorenzo De Monteclaro,Contrabando Y Traicion
Trio Armonia Huasteca,El Sonsolito
Los Relampagos Del Norte,Capullito De Rosa
Los Relampagos Del Norte,Que Bonita Chaparrita
Los Relampagos Del Norte,Vengo A Verte
Los Relampagos Del Norte,El Disgusto 
Los Relampagos Del Norte,Mi Talisman 
Los Relampagos Del Norte, Ahí Perdimos Todo
Conjunto Primavera de Nacho Galindo,Borracho Y Loco
Carlos Y Jose,Dados Cargados
Carlos Y Jose,Las Tres Mujeres
Carlos Y Jose,El Casado
Carlos Y Jose,La Entalladita
Carlos Y Jose,La Cosecha
Carlos Y Jose,Amores Fingidos
Carlos Y Jose,Dados Cargados
Carlos Y Jose,Los Amores De Rosita
Carlos Y Jose,A Mi Me Toco Perder
Carlos Y Jose,Murieron Mis Padres
Carlos Y Jose,Muchacha Hermosa
Carlos Y Jose,Cada Copa
Carlos Y Jose,El Tepozan
Carlos Y Jose,El Capitan Fantasma
Carlos Y Jose,Amores Fingidos
Carlos Y Jose,El Tepozan
Carlos Y Jose,Cada Copa
Carlos Y Jose,El Capitan Fantasma
Antonio Aguilar,Domingo Corrales
Antonio Aguilar,Ya Ni Las Copas 
Antonio Aguilar,Por Una Mujer Casada
Antonio Aguilar,Mi Esperanza
Antonio Aguilar,El Hijo Ausente
Antonio Aguilar,Los Besos De Mi Negra
Antonio Aguilar,Margarita La De Tijuana
Los Cadetes de Linares,Descansa General
Los Cadetes de Linares,Y Mas Te Estoy Queriendo
Los Cadetes de Linares,Mandato Divino
Los Cadetes de Linares,No Hay Novedad
Los Cadetes de Linares,Ave Sin Nido
Los Cadetes de Linares,Menos Que Nada
Los Rieleros Del Norte,Paso Del Norte
Los Rieleros Del Norte,El Novillo Despuntado
Los Tigres Del Norte,La Apasionada
Los Tigres Del Norte,Lo Del Agua Al Agua
Los Tigres Del Norte,Consejos
Los Tigres Del Norte,Cruz De Palo
Los Tigres Del Norte,Cuando Se Tienen Ganas
Los Tigres Del Norte,Por Las Parrandas
Los Tigres Del Norte,La Yuca
Los Tigres Del Norte,Las Dos Apuestas
Los Tigres Del Norte,El Gringo Y El Mexicano
Los Tigres Del Norte,Plaza Garibaldi
Ramón Ayala Y Sus Bravos Del Norte,Sin Sangre En Las Venas
Los Cadetes De Linares,Felicidades
Los Cadetes De Linares,Llore A Mi Madre
Los Cadetes De Linares,Las Mañanitas 
Los Cadetes De Linares,No Me Culpes
Los Cadetes De Linares,Caminos Prohibidos
Los Cadetes De Linares,En Tu Dia
Los Cadetes de Linares,Tu Vida No Me Importa
Los Cadetes de Linares,Por Ser Tan Pobre
Los Cadetes de Linares,Polvo Maldito
Los Cadetes de Linares,La Guagua De Homero
Los Cadetes de Linares,El Gorrioncito
Los Cadetes de Linares,Cancion A Una Madre
Los Cadetes de Linares,Tu Partida 
Los Cadetes de Linares,Mi Primer Amor
Los Cadetes de Linares,El Pata De Palo
Los Cadetes de Linares,RIco Sin Amor
Los Cadetes de Linares,El Dardo
Los Cadetes de Linares,El Adios De Mi Madre
Los Cadetes de Linares,Cruzando El Puente
Los Cadetes de Linares,Yo Fui El Que Mato A Mi Novia
Los Cadetes de Linares,El Retorno De Chito Cano
Los Cadetes de Linares,El Muchacho Y El Potro
Vicente Fernandez,Por Si No Te Vuelvo A Ver
Vicente Fernandez,No Me Se Rajar
Vicente Fernandez,Tu Voz
Vicente Fernandez,El Parchado
Vicente Fernandez,Le Pusieron 7 Leguas
Vicente Fernandez,El Polvorete
Vicente Fernandez,Los Dos Compadres
Vicente Fernandez,Dejame Que Me Vaya
Los Cadetes De Linares,Estoy Pagando
Los Cadetes De Linares,El Regio Traficante 
Los Cadetes De Linares,Ventura Ramos
Los Cadetes De Linares,Dos Punales
Los Cadetes De Linares,El Huerfano
Las Jilguerillas,El Bato Gacho
Las Jilguerillas,Busca Otro Amor
Las Jilguerillas,Cumpleaños
Las Jilguerillas,El Novillo Despuntado
Las Jilguerillas,De MI Rancho A Tu Rancho
Los Cadetes De Linares,Sinceramente 
Los Cadetes De Linares,Si tu supieras 
Los Cadetes De Linares,Ven a buscarme 
Los Cadetes De Linares,Sabor de engano
Los Tigres Del Norte,Bajo El Cielo De Morelia
Los Tigres Del Norte,Plaza Garibaldi
Various,Juan Charrasqueado
Los Alegres De Terán,Adios Madre Querida
Los Alegres De Terán,Prisionero De Tus Brazos
Los Alegres De Terán,Ingrato Amor
Los Alegres De Terán,Moneda Sin Valor
Los Alegres De Terán,El Ojo De Vidrio
Los Tigres Del Norte,Consejos
Los Tigres Del Norte,Cuando Se Tiene Ganas
Los Potros,La Mancha
Los Tigres Del Norte,La Apasionada
Los Tigres Del Norte,Lo Del Agua Al Agua
Los Tigres Del Norte,Con Razón Y Sin Razón
Los Tigres Del Norte,Cruz De Palo
Los Tigres Del Norte,Plaza Garibaldi
Los Tigres Del Norte,La Yuca
Los Tigres Del Norte,Cuando Se Tienen Ganas
Los Tigres Del Norte,Consejos
Los Tigres Del Norte,Las Dos Apuestas
Los Tigres Del Norte,El Gringo Y El Mexicano
Los Tigres Del Norte,Por Las Parrandas
Los Alegres De Terán,Prisionero De Tus Brazos
Los Alegres De Terán,Adios Madre Querida
Los Alegres De Terán,Ingrato Amor
Los Alegres De Terán,El Ojo De Vidrio
Los Alegres De Terán,Moneda Sin Valor
Carlos Y Jose,Chinita Mia
Carlos Y Jose,Adios Tierra Querida
Carlos Y Jose,Anhelo
Carlos Y Jose,Paloma Piquito De Oro
Carlos Y Jose,Mujer Ingrata
Los Relampagos Del Norte,Vengo A Verte
Los Relampagos Del Norte,Mi Talisman 
Los Relampagos Del Norte,Capullito De Rosa
Los Relampagos Del Norte, Ahí Perdimos Todo
Los Relampagos Del Norte,El Disgusto 
Los Relampagos Del Norte,Que Bonita Chaparrita
Los Cadetes de Linares,Pistoleros Famosos
Los Cadetes de Linares,Generoso Y Carmelita
Los Cadetes de Linares,Dimas De Leon
Los Cadetes de Linares,Eleazar Del Fierro
Los Cadetes de Linares,Arturo Garza Trevino
Los Cadetes de Linares,Jose Lopez
Los Cadetes de Linares,Lucio Peña
Los Cadetes de Linares,Silvano Garcia
Los Cadetes de Linares,Vivo Preso
Los Hermanos Barron,16 Toneladas
Los Cadetes De Linares,Con Que Me Pagas
Los Cadetes De Linares,Negro Es Mi Destino
Los Cadetes De Linares,Cosas Del Ayer
Los Cadetes De Linares,Quiero Que Sepas
Los Cadetes De Linares,El Rancherito
Carlos Y Jose,Adios Tierra Querida
Carlos Y Jose,Chinita Mia
Carlos Y Jose,Anhelo
Carlos Y Jose,Mujer Ingrata
Carlos Y Jose,Paloma Piquito De Oro
Carlos Y Jose,Adios Tierra Querida
Carlos Y Jose,Chinita Mia 
Carlos Y Jose,Dados Cargados
Carlos Y Jose,Amores Fingidos
Ramon Ayala Y Sus Bravos Del Norte,Entre Copa y Copa  
Ramon Ayala Y Sus Bravos Del Norte,Infiel 
Ramon Ayala Y Sus Bravos Del Norte,Tragos Amargos
Carlos Y Jose,Los Amores De Rosita
Carlos Y Jose,A Mi Me Toco Perder
Carlos Y Jose,Muchacha Hermosa
Carlos Y Jose,Murieron Mis Padres
Carlos Y Jose,Dados Cargados
Los Cadetes De Linares,Cuando Regreses
Los Cadetes De Linares,Mas Enamorado
Los Cadetes De Linares,Que Seas Dichosa
Los Cadetes De Linares,Si Quieres Tu Volver
Los Cadetes De Linares,Flor De Mis Primeros Anos
Los Cadetes De Linares,Necio Necio Morire
Los Cadetes De Linares,Estoy Pagando
Carlos Y Jose,Las Tres Mujeres
Carlos Y Jose,El Casado
Carlos Y Jose,La Cosecha
Carlos Y Jose,La Entalladita
Los Hermanos Barron,16 Toneladas
Luis Perez Meza,El Barzon
Luis Perez Meza,Los Laureles
Luis Perez Meza,El Carro Del Sol
Lucha Villa,A Medias De La Noche
Lucha Villa,Fina Estampa
Lucha Villa,Amemonos
Lucha Villa,Juro Que Nunca Volvere
Lucha Villa,Si Nos Dejan
Lucha Villa,No Me Amenaces
Lucha Villa,"No Me Dejes Nunca, Nunca, Nunca"
Lucha Villa,Inocente Pobre Amiga
Lucha Villa,Que Me Lleve El Diablo
Lucha Villa,Corrido De Chihuahua
Lucha Villa,Amaneci En Tus Brazos
Pedro Infante,Luna De Octubre
Pedro Infante,Mi Cariñito
Pedro Infante,La Cama De Piedra
Pedro Infante,Sus Ojitos
Pedro Infante,Tres Dias
Pedro Infante,Que Te Ha Dado Esa Mujer
Pedro Infante,El Gavilan Pollero
Pedro Infante,Tu Enamorado
Pedro Infante,Flor Sin Retoño
Pedro Infante,Besame Morenita
Pedro Infante,Nocturnal
Pedro Infante,A La Orilla Del Mar
Pedro Infante,La Calandria
Pedro Infante,La Cama De Piedra
Pedro Infante,Mi Cariñito
Pedro Infante,Nocturnal
Pedro Infante,Tres Dias
Pedro Infante,Tu Enamorado
Pedro Infante,El Gavilan Pollero
Pedro Infante,Luna De Octubre
Pedro Infante,Sus Ojitos
Pedro Infante,Flor Sin Retoño
Pedro Infante,Besame Morenita
Pedro Infante,A La Orilla Del Mar
Pedro Infante,Que Te Ha Dado Esa Mujer
Pedro Infante,La Calandria
Los Caminantes,Dime Si Me Quieres
Los Caminantes,Entrega Total
Los Cadetes De Linares,El Cerillazo
José Alfredo Jiménez,Camino De Guanajuato
José Alfredo Jiménez,Que Bonito Amor
José Alfredo Jiménez,El Caballo Blanco
José Alfredo Jiménez,Llegando A Ti
José Alfredo Jiménez,Serenata Sin Luna
José Alfredo Jiménez,Paloma Querida
José Alfredo Jiménez,Un Mundo Raro
José Alfredo Jiménez,Corazon Corazon
José Alfredo Jiménez,Ella
José Alfredo Jiménez,Amarga Navidad
José Alfredo Jiménez,Amor Del Alma
José Alfredo Jiménez,El Jinete
José Alfredo Jiménez,Cuatro Caminos
José Alfredo Jiménez,Muy Despacito
José Alfredo Jiménez,Vamonos
Lucha Villa,Fina Estampa
Lucha Villa,A Medias De La Noche
Lucha Villa,Juro Que Nunca Volveré
Lucha Villa,Amémonos
Lucha Villa,Si Nos Dejan
Lucha Villa,No Me Amenaces
Lucha Villa,"No Me Dejes Nunca, Nunca, Nunca"
Lucha Villa,Que Me Lleve El Diablo
Lucha Villa,Amanecí En Tus Brazos
Lucha Villa,Inocente Pobre Amiga
Lucha Villa,Corrido De Chihuahua
Chayito Valdez,Una Sombra
Chayito Valdez,Son Habladas
Chayito Valdez,Que Bonito
Chayito Valdez,Ya Para Que
Pedro Infante,Amorcito Corazon
Pedro Infante,Flor Sin Retoño
Pedro Infante, Luna De Octubre
Pedro Infante,Nocturnal
Pedro Infante,Mi Cariñito
Pedro Infante,Que Te Ha Dado Esa Mujer
Pedro Infante,La Cama De Piedra
Pedro Infante,A La Orilla Del Mar
Pedro Infante,Sus Ojitos
Pedro Infante,Tres Dias
Pedro Infante,Siete Leguas
Pedro Infante,El Fronterizo
Pedro Infante,"Tu, Solo Tu"
Pedro Infante,El Gavilan Pollero
Pedro Infante,Tu Enamorado
Pedro Infante,Besame Morenita
Pedro Infante,La Calandria
Pedro Infante,El Plebeyo
Pedro Infante,Yo No Fui
Pedro Infante,El Muñeco De Cuerda
Luis Y Julián,Asesino a Sueldo
Antonio Aguilar,Hace Un Año
Antonio Aguilar,Estrellita Marinera
Antonio Aguilar,Tampico Hermoso
Antonio Aguilar,Albur De Amor
Antonio Aguilar,Ya Viene Amaneciendo
Antonio Aguilar,Cancion Mixteca
Antonio Aguilar,Paso Del Norte
Antonio Aguilar,Que Te Ha Dado Esa Mujer
Antonio Aguilar,No Volvere
Antonio Aguilar,La Mula Chula
Antonio Aguilar,Noviando En Lo Obscurito
Antonio Aguilar,El Dicharachero
Antonio Aguilar,El Chivo
Antonio Aguilar,La Rica Pobre
Antonio Aguilar,Alta Y Delgadita
Carlos Y Jose,Se Vende Esta Casa
Carlos Y Jose,Una Rosa De Castilla
Carlos Y Jose,Echenme La Tierra Encima
Carlos Y Jose,Amargo Recuerdo
Los Broncos De Reynosa,Clave 7
Los Broncos De Reynosa,Paso Del Norte
Juan Gabriel,Caray
Juan Gabriel,Nada Mas Decídete
Juan Gabriel,No Vale La Pena
Juan Gabriel,La Farsante
Juan Gabriel,Ya No Quiero Volver Con Usted
Juan Gabriel,La Madrileña
Juan Gabriel,Isi
Juan Gabriel,Yo Me Voy
Los Cadetes De Linares,Menos Que Nada
Los Cadetes De Linares,El Rancherito
Los Cadetes De Linares,Lo Nuestro Termino
Los Cadetes De Linares,Que Seas Dichosa
Los Cadetes De Linares,Con Que Me Pagas
Juan Gabriel,Caray
Juan Gabriel,Nada Mas Decídete
Juan Gabriel,Yo Me Voy
Juan Gabriel,La Madrileña
Juan Gabriel,No Vale La Pena
Juan Gabriel,La Farsante
Juan Gabriel,Isi
Juan Gabriel,Ya No Quiero Volver Con Usted
Los Broncos De Reynosa,Clave 7
Los Broncos De Reynosa,Paso Del Norte
