artist,song
Los Felinos,De Puntitas
Paquita La Del Barrio,Penitencia
Paquita La Del Barrio,Ya No Te Quiero
Paquita La Del Barrio,Cuanto Das
Paquita La Del Barrio,Cero A La Izquierda
Paquita La Del Barrio,Precipicio
Paquita La Del Barrio,Sin Fortuna
Paquita La Del Barrio,Y Que Muera La Tristeza
Paquita La Del Barrio,Cuando Te Alejes De Mi
Paquita La Del Barrio,Bienvenida
Paquita La Del Barrio,Piedra Sobre Piedra 
Carlos Y Jose,La Chayo
Carlos Y Jose,Concha Del Alma
Los Caminantes,Supe Perder
Los Caminantes,Angel De La Mañana
Los Caminantes,Entrega Total
Los Caminantes,Dime Si Me Quieres
Los Caminantes,Para Morir Iguales
Los Caminantes,Para Que Quieres Volver
Los Caminantes,Regresare
Los Caminantes,He Sabido
Los Caminantes,Cartas Marcadas
Los Caminantes,Cuando Dos Almas
Los Caminantes,No Volvere
Los Caminantes,Amame Tiernamente
Bronco,La Hechicera
Bronco,Por Retenerte
Bronco,A Que Le Tiramos
Bronco,Con La Puerta Abierta 
Bronco,Para Que Vivas Tranquila
Bronco,La Regañona
Bronco,Cumbia Triste
Bronco,Ya No Viene
Bronco,El Chupeton
Bronco,Piedra Y Diamante 
Bronco,Un Golpe Mas
Bronco,Se Termina
Bronco,La Hechicera
Bronco,Con La Puerta Abierta 
Bronco,Por Retenerte
Bronco,A Que Le Tiramos
Bronco,Cumbia Triste
Bronco,Para Que Vivas Tranquila
Bronco,La Regañona
Bronco,Ya No Viene
Bronco,Un Golpe Más
Bronco,El Chupetón
Bronco,Piedra Y Diamante 
Bronco,Se Termina
Joan Sebastian,Verdad Que Duele
Joan Sebastian,La Polka De Reynosa
Joan Sebastian,En Tu Sonrisa
Joan Sebastian,El Corrido De Zenon
Joan Sebastian,Mas Que A Ninguna
Joan Sebastian,Llorar Entre Sombras
Joan Sebastian,Traficante De Besos
Joan Sebastian,Ojitos De Golondrina
Joan Sebastian,Levantado En Armas
Los Hermanos Banda De Salamanca,Flor de Dalia
Banda El Recodo De Crúz Lizárraga,Cuatro Milpas
Banda El Recodo De Crúz Lizárraga,El Capiro
Los Rancheritos Del Topo Chico,Como Van A Evitarlo
Los Felinos,Jacinto Pérez de la O
Los Rancheritos Del Topo Chico,El Orgulloso
Beto Quintanilla,Raquenel Villanueva
Beto Quintanilla,El Calabazo
Beto Quintanilla,El Corrido de Los Mendoza
Beto Quintanilla,Juan Amaya
Beto Quintanilla,Patricia Cuellar
Beto Quintanilla,Escolta Suicida
Beto Quintanilla,El Beso de Tierra
Beto Quintanilla,El Plebe y El Cholo
Beto Quintanilla,El Jefe Belisario
Beto Quintanilla,Omar Gonzalez
Beto Quintanilla,El Calabazo
Beto Quintanilla,El Corrido de Los Mendoza
Beto Quintanilla,Raquenel Villanueva
Beto Quintanilla,El Beso de Tierra
Beto Quintanilla,El Plebe y El Cholo
Beto Quintanilla,Escolta Suicida
