artist,song,year,i_AR,i_MO,i_DI,i_PO,i_NA,i_GO,IIA_global
Antonio Aguilar,El Califa,2002,0.25,0.0,0.0,0.0,0.0,0.625,0.14583333333333331
Antonio Aguilar,El Califa,2003,0.25,0.0,0.0,0.0,0.0,0.625,0.14583333333333331
Antonio Aguilar,El Califa,2014,0.25,0.0,0.0,0.0,0.0,0.625,0.14583333333333331
Antonio Aguilar,El Campeon,2006,0.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
Antonio Aguilar,El Cantador,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador ,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Cantador ,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Dia De San Juan,1997,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Antonio Aguilar,El Dia De San Juan,2003,2.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Antonio Aguilar,El Federal de Caminos,1988,0.6,0.0,0.0,0.4,0.0,0.2,0.2
Antonio Aguilar,El Federal de Caminos,1998,0.6,0.0,0.0,0.4,0.0,0.2,0.2
Antonio Aguilar,El Gallo Colorado,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Aguilar,El Grano De Oro,1972,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,El Grano De Oro,1984,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,El Grano De Oro,1988,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,El Grano De Oro,2003,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
Antonio Aguilar,El Grano De Oro,2014,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1111111111111111
